id,name,type,portion,calories,fat,carbs,sugar,protein,vegan,vegetarian,keto,diabetic,pescatarian 
277,  spinach  ,vegetable,180g,41,.5g,6.8g,.8g,5.3g,1,1,0,1,0
278,  sweet potato  ,vegetable,114g,103,.2g,24g,7.4g,2.3g,1,1,0,1,0
279,  broccoli  ,vegetable,10g,3.5,0g,.7g,.1g,.2g,1,1,0,1,0
280,  pumpkin  ,vegetable,245g,49,.2g,12g,5.1g,1.8g,1,1,0,1,0
281,  baby greens  ,vegetable,190g,63,1.4g,11g,.8g,5.1g,1,1,0,1,0
282,  cabbage  ,vegetable,75g,17,.1g,4.1g,2.1g,.9g,1,1,0,1,0
283,  cauliflower  ,vegetable,575g,132,2.6g,24g,12g,11g,1,1,0,1,0
284,  asparagus  ,vegetable,75g,17,.2g,3.1g,1g,1.8g,1,1,0,1,0
285,  kale  ,vegetable,4.7g,36,.5g,7.3g,1.6g,2.5g,1,1,0,1,0
286,  arugula  ,vegetable,10g,2.5,.1g,.4g,.2g,.3g,1,1,0,1,0
287,  leek  ,vegetable,124g,38,.3g,9.4g,2.6g,1g,1,1,0,1,0
288,  eggplant  ,vegetable,566g,198,1.3g,49g,18g,4.7g,1,1,0,1,0
289,  lettuce  ,vegetable,94g,16,.3g,3.1g,1.1g,1.2g,1,1,0,1,0
290,  butternut squash  ,vegetable,205g,82,.2g,22g,4g,1.8g,1,1,0,1,0
291,  green olives  ,vegetable,2.7g,3.9,.4g,.1g,0g,0g,1,1,0,1,0
292,  sweet onion  ,vegetable,331g,106,.3g,25g,17g,2.6g,1,1,0,1,0
293,  beetroot  ,vegetable,50g,22,.1g,5g,4g,.8g,1,1,0,1,0
294,  romaine  ,vegetable,94g,16,.3g,3.1g,1.1g,1.2g,1,1,0,1,0
295,  black olives  ,vegetable,3.8g,4.4,.4g,.2g,0g,0g,1,1,0,1,0
296,  artichoke  ,vegetable,120g,64,.4g,14g,1.2g,3.5g,1,1,0,1,0
297,  brussels sprout  ,vegetable,168g,60,.8g,12g,2.9g,4.3g,1,1,0,1,0
298,  fennel  ,vegetable,87g,27,.2g,6.4g,3.4g,1.1g,1,1,0,1,0
299,  radish  ,vegetable,4.5g,0.7,0g,.1g,.1g,0g,1,1,0,1,0
300,  canned pumpkin  ,vegetable,245g,83,.7g,20g,8.1g,2.7g,1,1,0,1,0
301,  kalamata olives  ,vegetable,2.9g,6.2,.6g,.2g,0g,0g,1,1,0,1,0
302,  summer squash  ,vegetable,342g,68,1.1g,15g,8.9g,3.1g,1,1,0,1,0
303,  red cabbage  ,vegetable,150g,44,.1g,10g,5g,2.3g,1,1,0,1,0
304,  mixed greens  ,vegetable,85g,20,.2g,4.2g,1.8g,1.2g,1,1,0,1,0
305,  horseradish  ,vegetable,5g,2.4,0g,.6g,.4g,.1g,1,1,0,1,0
306,  parsnip  ,vegetable,98g,70,.3g,17g,4.7g,1.3g,1,1,0,1,0
307,  mixed vegetable  ,vegetable,140g,45,.5g,9.7g,3.7g,2.4g,1,1,0,1,0
308,  poblano pepper  ,vegetable,64g,13,.1g,3g,1.5g,.6g,1,1,0,1,0
309,  bean sprouts  ,vegetable,124g,26,.1g,5.2g,3.5g,2.5g,1,1,0,1,0
310,  serrano pepper  ,vegetable,6.1g,2,0g,.4g,.2g,.1g,1,1,0,1,0
311,  sweet pepper  ,vegetable,114g,32,.2g,7.6g,3.6g,1g,1,1,0,1,0
312,  watercress  ,vegetable,34g,3.7,0g,.4g,.1g,.8g,1,1,0,1,0
313,  bok choy  ,vegetable,170g,20,.3g,3g,1.4g,2.7g,1,1,0,1,0
314,  iceberg  ,vegetable,57g,8,.1g,1.7g,1.1g,.5g,1,1,0,1,0
315,  chard  ,vegetable,175g,35,.1g,7.2g,1.9g,3.3g,1,1,0,1,0
316,  green tomato  ,vegetable,123g,28,.3g,6.3g,4.9g,1.5g,1,1,0,1,0
317,  pimiento  ,vegetable,12g,2.8,0g,.6g,.3g,.1g,1,1,0,1,0
318,  butter lettuce  ,vegetable,163g,21,.4g,3.6g,1.5g,2.2g,1,1,0,1,0
319,  spaghetti squash  ,vegetable,958g,259,2.5g,62g,24g,6.3g,1,1,0,1,0
320,  sauerkraut  ,vegetable,142g,27,.2g,6.1g,2.5g,1.3g,1,1,0,1,0
321,  celeriac  ,vegetable,155g,42,.3g,9.1g,0g,1.5g,1,1,0,1,0
322,  napa cabbage  ,vegetable,109g,13,.2g,2.4g,0g,1.2g,1,1,0,1,0
323,  water chestnut  ,vegetable,62g,60,.1g,15g,3g,.9g,1,1,0,1,0
324,  turnip  ,vegetable,120g,26,.1g,6.1g,3.6g,.8g,1,1,0,1,0
325,  okra  ,vegetable,80g,18,.2g,3.6g,1.9g,1.5g,1,1,0,1,0
326,  acorn squash  ,vegetable,205g,115,.3g,30g,0g,2.3g,1,1,0,1,0
327,  radicchio  ,vegetable,40g,9.2,.1g,1.8g,.2g,.6g,1,1,0,1,0
328,  corn cob  ,vegetable,89g,85,1.3g,19g,4g,3g,1,1,0,1,0
329,  pearl onion  ,vegetable,15g,6.6,0g,1.5g,.7g,.2g,1,1,0,1,0
330,  thai chili  ,vegetable,3g,1.2,0g,.3g,.2g,.1g,1,1,0,1,0
331,  plantain  ,vegetable,240g,278,.4g,75g,34g,1.9g,1,1,0,1,0
332,  tenderstem broccoli  ,vegetable,10g,3.5,0g,.7g,.1g,.2g,1,1,0,1,0
333,  leaf lettuce  ,vegetable,17g,2.9,.1g,.6g,.2g,.2g,1,1,0,1,0
334,  endive  ,vegetable,53g,9,.1g,2.1g,0g,.5g,1,1,0,1,0
335,  jicama  ,vegetable,120g,46,.1g,11g,2.2g,.9g,1,1,0,1,0
336,  corn husk  ,vegetable,103g,99,1.5g,22g,4.7g,3.5g,1,1,0,1,0
337,  habanero pepper  ,vegetable,45g,18,.2g,4g,2.4g,.8g,1,1,0,1,0
338,  canned whole tomato  ,vegetable,123g,22,.3g,4.8g,3.2g,1.1g,1,1,0,1,0
339,  collard greens  ,vegetable,190g,63,1.4g,11g,.8g,5.1g,1,1,0,1,0
340,  baby corn  ,vegetable,85g,19,.3g,4.2g,.9g,.7g,1,1,0,1,0
341,  daikon  ,vegetable,357g,61,.9g,12g,6.5g,2.4g,1,1,0,1,0
342,  belgian endive  ,vegetable,53g,9,.1g,2.1g,0g,.5g,1,1,0,1,0
343,  broccoli rabe  ,vegetable,10g,3.5,0g,.7g,.1g,.2g,1,1,0,1,0
344,  rutabaga  ,vegetable,140g,52,.2g,12g,6.2g,1.5g,1,1,0,1,0
345,  ancho chili pepper  ,vegetable,17g,48,1.4g,8.7g,0g,2g,1,1,0,1,0
346,  bamboo shoot  ,vegetable,131g,25,.5g,4.2g,2.5g,2.3g,1,1,0,1,0
347,  boston lettuce  ,vegetable,163g,21,.4g,3.6g,1.5g,2.2g,1,1,0,1,0
348,  yam  ,vegetable,136g,158,.2g,37g,.7g,2g,1,1,0,1,0
349,  kohlrabi  ,vegetable,135g,36,.1g,8.4g,3.5g,2.3g,1,1,0,1,0
350,  guajillo pepper  ,vegetable,2.3g,5.8,.1g,1.5g,0g,.2g,1,1,0,1,0
351,  frisee  ,vegetable,29g,6.7,.1g,1.4g,.2g,.5g,1,1,0,1,0
352,  delicata squash  ,vegetable,205g,76,.7g,18g,6.8g,1.8g,1,1,0,1,0
353,  anaheim pepper  ,vegetable,64g,13,.1g,3g,1.5g,.6g,1,1,0,1,0
354,  cress  ,vegetable,50g,16,.4g,2.8g,2.2g,1.3g,1,1,0,1,0
355,  golden beet  ,vegetable,50g,22,.1g,5g,4g,.8g,1,1,0,1,0
356,  gem lettuce  ,vegetable,94g,16,.3g,3.1g,1.1g,1.2g,1,1,0,1,0
357,  alfalfa  ,vegetable,33g,7.6,.2g,.7g,.1g,1.3g,1,1,0,1,0
